numero_college,nom_etablissement,note_a_l_ecrit_g,va_de_la_note_g,pourcentage_hors_segpa_hors_ulis,pourcenetage_allemand_lv1,pourcentage_filles,ips,ecart_type_de_l_ips,ep_2022_2023,region_academique
0132730X,Collège Pytheas,8.9,0.3,94.565217391304347826000,0.000000000000000000000,52.173913043478260870000,77.8,23.1,REP+,PROVENCE-ALPES-COTE-D'AZUR
0132407W,Collège Jean Moulin,8.5,0.3,75.324675324675324675000,0.000000000000000000000,48.051948051948051948000,65.0,19.0,REP+,PROVENCE-ALPES-COTE-D'AZUR
0131757P,Collège L'Estaque,8.8,-0.4,97.959183673469387755000,0.000000000000000000000,53.741496598639455782000,99.6,31.2,REP,PROVENCE-ALPES-COTE-D'AZUR
0131884C,Collège Belle de Mai,8.0,0.4,100.000000000000000000000,12.857142857142857143000,51.428571428571428571000,72.8,19.6,REP+,PROVENCE-ALPES-COTE-D'AZUR
0131935H,Collège Edgar Quinet,8.4,0.6,100.000000000000000000000,12.857142857142857143000,50.000000000000000000000,64.2,19.8,REP+,PROVENCE-ALPES-COTE-D'AZUR
0132496T,Collège Honoré Daumier,10.3,-0.1,100.000000000000000000000,11.214953271028037383000,56.074766355140186916000,94.8,31.7,HORS EP,PROVENCE-ALPES-COTE-D'AZUR
0132323E,Collège Maximilien Robespierre,9.6,-0.3,95.604395604395604396000,0.000000000000000000000,41.758241758241758242000,86.3,26.2,REP,PROVENCE-ALPES-COTE-D'AZUR
0840114T,Collège François Raspail,10.6,0.4,80.729166666666666667000,9.375000000000000000000,44.791666666666666667000,88.1,32.4,REP,PROVENCE-ALPES-COTE-D'AZUR
0840762X,Collège Barbara Hendricks,9.7,-0.3,98.437500000000000000000,6.250000000000000000000,53.906250000000000000000,82.4,28.0,REP,PROVENCE-ALPES-COTE-D'AZUR
0060799L,Collège les Mûriers,9.6,0.1,89.855072463768115942000,0.000000000000000000000,52.657004830917874396000,84.0,27.4,REP,PROVENCE-ALPES-COTE-D'AZUR
0060838D,Collège Simone Veil,9.0,-0.1,92.913385826771653543000,0.000000000000000000000,44.094488188976377953000,75.5,22.1,REP,PROVENCE-ALPES-COTE-D'AZUR
0830148K,Collège Maurice Genevoix,8.9,-0.8,100.000000000000000000000,0.000000000000000000000,52.941176470588235294000,79.1,27.4,REP+,PROVENCE-ALPES-COTE-D'AZUR
0500053L,Collège Le Fairage,9.6,-0.3,100.000000000000000000000,0.000000000000000000000,53.191489361702127660000,92.1,23.2,REP,NORMANDIE
9760167C,Collège de M'Tsangamouji,7.8,NULL,93.137254901960784314000,0.000000000000000000000,52.941176470588235294000,90.2,26.5,REP,MAYOTTE
9760274U,Collège de Tsingoni,5.6,NULL,95.518207282913165266000,0.000000000000000000000,49.019607843137254902000,77.0,27.0,REP+,MAYOTTE
0141257R,Collège du Val d'Aure,10.1,0.4,95.000000000000000000000,0.000000000000000000000,57.500000000000000000000,83.9,23.3,REP,NORMANDIE
0270022C,Collège Navarre,9.2,-1.0,97.761194029850746269000,0.000000000000000000000,49.253731343283582090000,90.5,31.6,HORS EP,NORMANDIE
0271095U,Collège Georges Politzer,10.1,0.5,89.204545454545454545000,0.000000000000000000000,44.318181818181818182000,84.3,26.7,REP,NORMANDIE
0501525L,Collège la Chaussonnière,10.9,-0.8,91.566265060240963855000,0.000000000000000000000,63.855421686746987952000,99.7,33.3,HORS EP,NORMANDIE
0501206P,Collège Jacques Prévert,10.2,-1.4,78.000000000000000000000,0.000000000000000000000,53.000000000000000000000,95.8,32.7,HORS EP,NORMANDIE
0500068C,Collège Saint-Exupéry,10.8,0.6,83.928571428571428571000,0.000000000000000000000,46.428571428571428571000,85.5,26.5,REP,NORMANDIE
0610003X,Collège Jean Racine,11.6,0.3,86.400000000000000000000,0.000000000000000000000,51.200000000000000000000,103.9,33.3,HORS EP,NORMANDIE
0611026J,Collège Louise Michel,7.8,-1.2,91.428571428571428571000,0.000000000000000000000,60.000000000000000000000,67.0,19.1,REP+,NORMANDIE
0611156A,Collège Françoise Dolto,10.8,0.0,95.575221238938053097000,0.000000000000000000000,56.637168141592920354000,91.1,28.3,HORS EP,NORMANDIE
0760017F,Collège le Cèdre,11.2,0.2,81.904761904761904762000,0.000000000000000000000,35.238095238095238095000,93.4,33.7,REP,NORMANDIE
0762919K,Collège Jacques-Yves Cousteau,9.3,0.1,96.842105263157894737000,0.000000000000000000000,50.526315789473684211000,78.2,25.5,REP,NORMANDIE
0762287Y,Collège Georges Cuvier,9.5,-0.9,100.000000000000000000000,0.000000000000000000000,50.561797752808988764000,91.0,26.9,REP,NORMANDIE
